car_name,car_status,car_price,dealer_name,dealer_Rate,dealer_reviews,dealer_location,tel_number,state,region
2021 Chevrolet Equinox LS,Used,29865,Chevrolet Buick GMC of Attleboro,3.9,128,"Attleboro, MA",tel:+1-508-915-4490,Attleboro,MA
2024 Mercedes-Benz GLE 450 4MATIC,New,87045,Mercedes-Benz of Beaumont,4.4,86,"Beaumont, TX",tel:+1-866-290-1163,Beaumont,TX
2022 Lexus NX 350 Premium,Used,39322,Moses Lexus,4.9,390,"St Albans, WV",tel:+1-304-759-8785,St Albans,WV
2023 Nissan Kicks SR,New,26385,Capital Nissan of Wilmington,4.2,280,"Wilmington, NC",tel:+1-877-292-1320,Wilmington,NC
2017 Hyundai IONIQ Hybrid SEL,Used,13995,AutoNation USA Fort Myers,4.8,46,"Fort Myers, FL",tel:+1-239-402-3630,Fort Myers,FL
2024 Nissan Sentra SR,New,24458,Capital Nissan of Wilmington,4.2,280,"Wilmington, NC",tel:+1-877-292-1320,Wilmington,NC
2024 Jeep Grand Cherokee 4xe Base,New,64880,All American Chrysler Dodge Jeep Ram of Odessa,4.5,2041,"Odessa, TX",tel:+1-432-316-2182,Odessa,TX
2021 Buick Enclave Essence,Used,29975,Kevin Grover Buick-GMC,4.9,589,"Wagoner, OK",tel:+1-888-469-2807,Wagoner,OK
2010 Subaru Impreza 2.5 i,Used,9950,Rusty Drewing Chevrolet Buick GMC,4.8,258,"Jefferson City, MO",tel:+1-573-298-6229,Jefferson City,MO
2024 BMW 840 i,Used,99988,BMW of Palm Springs,4.7,1038,"Palm Springs, CA",tel:+1-866-984-3951,Palm Springs,CA
2024 Nissan Rogue SV,New,34870,Grenada Nissan,0.0,0,"Grenada, MS",tel:+1-662-500-3132,Grenada,MS
2023 Jeep Grand Cherokee 4xe Overland,New,63670,All American Chrysler Dodge Jeep Ram of Midland,4.5,1128,"Midland, TX",tel:+1-432-316-2170,Midland,TX
2019 Maserati Levante Base,Used,43989,Shottenkirk Desert Lexus,2.4,89,"Cathedral City, CA",tel:+1-760-558-4239,Cathedral City,CA
2022 Nissan Rogue S,Used,24471,Shottenkirk Honda Rome,4.1,159,"Rome, GA",tel:+1-706-661-7151,Rome,GA
2024 Ford Explorer ST,New,62000,Webber Family Motors,5.0,284,"Detroit Lakes, MN",tel:+1-218-325-4293,Detroit Lakes,MN
2014 BMW 328d xDrive,Used,15997,Lexus of Watertown,4.9,2807,"Watertown, MA",tel:+1-888-726-1611,Watertown,MA
1977 Cadillac Eldorado,Used,29900,Motorcar Classics,3.7,25,"Farmingdale, NY",tel:+1-631-830-6815,Farmingdale,NY
2024 Mercedes-Benz EQE 350+ Base,New,82285,Mercedes-Benz of Bakersfield,0.0,542,"Bakersfield, CA",tel:+1-661-578-6324,Bakersfield,CA
2021 RAM 1500 Classic Warlock Crew Cab 4x4 5'7' Box,Used,31596,McKinnon Nissan,4.6,124,"Clanton, AL",tel:+1-205-415-4598,Clanton,AL
2024 Mercedes-Benz EQS 450+ Base,New,116645,Mercedes-Benz of Cutler Bay,4.9,3619,"Cutler Bay, FL",tel:+1-786-254-5606,Cutler Bay,FL
2024 Mazda CX-50 2.5 S Premium Plus Package,New,38906,Tom Dolan's Reno Mazda,4.5,356,"Reno, NV",tel:+1-775-451-9957,Reno,NV
2008 Jeep Commander Sport,Used,3811,Corwin Public Wholesale,4.6,243,"Fargo, ND",tel:+1-218-227-5130,Fargo,ND
2021 Lexus IS 350 F Sport,Used,41998,Lexus of Wichita,4.0,234,"Wichita, KS",tel:+1-866-621-7886,Wichita,KS
2013 Nissan 370Z Touring,Used,20500,Preston BMW,0.0,135,"Youngstown, OH",tel:+1-330-368-3042,Youngstown,OH
2022 Jeep Grand Cherokee 4xe Summit,Used,64585,Steve Faulkner Automotive,4.7,34,"Mount Carmel, IL",tel:+1-877-668-4539,Mount Carmel,IL
2024 Volkswagen Taos 1.5T SE,New,30131,Volkswagen of Beaumont,4.8,62,"Beaumont, TX",tel:+1-844-278-3922,Beaumont,TX
2005 Lexus ES 330 Base,Used,9777,Beverly Hills Auto Brokers,4.5,70,"Los Angeles, CA",tel:+1-310-807-8106,Los Angeles,CA
2022 Jeep Grand Cherokee Summit,Used,56995,Shields Auto Mart,4.9,99,"Paxton, IL",tel:+1-217-568-6158,Paxton,IL
2024 Nissan Sentra SR,New,27450,Garber Chrysler Dodge Jeep RAM,4.8,1017,"Saginaw, MI",tel:+1-888-451-9270,Saginaw,MI
2018 Porsche 718 Cayman Base,Used,46227,HBi Auto,3.4,17,"Mocksville, NC",tel:+1-336-443-9182,Mocksville,NC
2020 McLaren 720S Performance,Used,269990,O'Gara Coach Beverly Hills,0.0,6,"Beverly Hills, CA",tel:+1-424-485-1009,Beverly Hills,CA
2020 Jeep Cherokee Limited,Used,23995,Dvorak Motors,0.0,3,"Bismarck, ND",tel:+1-701-223-8554,Bismarck,ND
2024 Nissan Sentra SR,New,25167,Capital Nissan of Wilmington,4.2,280,"Wilmington, NC",tel:+1-877-292-1320,Wilmington,NC
2021 Toyota C-HR XLE,Used,23994,Uftring Nissan,4.6,768,"Peoria, IL",tel:+1-855-315-1089,Peoria,IL
2024 Nissan Sentra SR,New,28695,Nissan of Omaha,4.7,207,"Omaha, NE",tel:+1-402-296-8230,Omaha,NE
2021 Toyota Avalon Hybrid Limited,Used,23999,Honda Cars of Rockwall,4.8,1155,"Rockwall, TX",tel:+1-469-694-7661,Rockwall,TX
2020 Subaru Crosstrek Hybrid Base,Used,29000,Westboro Toyota,4.4,1913,"Westborough, MA",tel:+1-888-840-2203,Westborough,MA
2023 MINI SE Hardtop BASE,Used,24955,MINI of Warwick,5.0,231,"Warwick, RI",tel:+1-888-228-1096,Warwick,RI
2005 Toyota Celica GT,Used,10900,Diamond Auto Exchange,0.0,24,"Colton, CA",tel:+1-951-329-9394,Colton,CA
2012 Acura TSX 2.4,Used,8836,Nimnicht Buick GMC,4.9,2957,"Jacksonville, FL",tel:+1-904-507-6761,Jacksonville,FL
2021 Jeep Gladiator Sport,Used,30999,Lia Chrysler Jeep Dodge Ram Northampton,4.8,290,"Northampton, MA",tel:+1-877-802-6393,Northampton,MA
2024 Kia Sportage SX-Prestige,New,37590,Bill Byrd Kia,4.8,429,"Panama City, FL",tel:+1-850-441-2080,Panama City,FL
2021 FIAT 500X Pop,Used,20799,Sioux Empire Automotive,4.8,359,"Tea, SD",tel:+1-605-413-4484,Tea,SD
2024 Volvo XC90 B6 Plus Bright Theme 7-Seater,New,67030,Tom Kelley Volvo,4.8,192,"Fort Wayne, IN",tel:+1-877-876-3401,Fort Wayne,IN
2014 Chevrolet Captiva Sport LTZ,Used,8900,Eagle Auto,0.0,3,"Green Bay, WI",tel:+1-920-600-8656,Green Bay,WI
2024 Nissan Leaf S,New,28854,Hart Nissan,4.7,1996,"Mechanicsville, VA",tel:+1-877-438-9182,Mechanicsville,VA
2014 Toyota Prius c Two,Used,8100,Auto Boutique,4.4,1133,"Jacksonville, FL",tel:+1-904-712-4647,Jacksonville,FL
2007 Maserati Quattroporte Executive GT,Used,8795,East Coast Auto Source,1.8,194,"Bedford, VA",tel:+1-540-707-0055,Bedford,VA
2024 BMW 530 i xDrive,New,66295,Zeigler BMW of Kalamazoo,5.0,31,"Kalamazoo, MI",tel:+1-877-648-9646,Kalamazoo,MI
2020 Lexus LS 500 Base,Used,60995,Woodfield Lexus,4.9,2268,"Schaumburg, IL",tel:+1-888-573-0957,Schaumburg,IL
2023 Subaru Solterra Touring,New,53715,MetroWest Subaru,4.7,819,"Natick, MA",tel:+1-508-433-6653,Natick,MA
2020 Mercedes-Benz GLC 300 Base,Used,26299,HoneyCar - Charlottesville,4.3,32,"Charlottesville, VA",tel:+1-540-931-9382,Charlottesville,VA
2016 Chevrolet Silverado 3500 LTZ,Used,43990,Ressler Chevrolet,0.0,0,"Bozeman, MT",tel:+1-888-960-8738,Bozeman,MT
2023 Honda Civic Si Base,Used,30777,Sames Ford Laredo,0.0,0,"Laredo, TX",tel:+1-956-394-3081,Laredo,TX
2024 Ford Bronco Sport Big Bend,New,36315,Hub City Ford,4.5,520,"Lafayette, LA",tel:+1-337-205-7116,Lafayette,LA
2024 Ford Edge SE,New,33913,AutoNation Ford Wolfchase,4.6,1618,"Memphis, TN",tel:+1-888-246-1461,Memphis,TN
2007 Toyota Yaris S,Used,7999,Alpha One Auto Sales,4.1,8,"Palmyra, NJ",tel:+1-856-389-2191,Palmyra,NJ
2024 Kia Sportage EX,New,28328,Greenway Kia at the Avenues,4.5,422,"Jacksonville, FL",tel:+1-904-515-0090,Jacksonville,FL
2022 Buick Envision AWD Avenir,Used,34831,Pryor Chevrolet Buick Gmc,4.8,448,"Pryor, OK",tel:+1-833-240-5531,Pryor,OK
2016 Porsche Cayman Base,Used,49999,Acura of Orange Park,4.5,367,"Jacksonville, FL",tel:+1-904-875-3861,Jacksonville,FL
2021 Dodge Durango R/T,Used,38988,Kendall Ford of Wasilla,4.3,1032,"Wasilla, AK",tel:+1-888-409-4390,Wasilla,AK
2024 Chevrolet Malibu 1LS,New,23495,Saline Chevrolet,4.4,985,"Saline, MI",tel:+1-734-470-2519,Saline,MI
2007 Saturn Vue V6,Used,7777,Spankys Auto Group LLC,2.4,21,"Mechanicsburg, PA",tel:+1-717-610-0223,Mechanicsburg,PA
2023 MINI Clubman Cooper S,Used,36300,ONYX Automotive,4.6,242,"Omaha, NE",tel:+1-402-769-3247,Omaha,NE
2023 Jeep Wrangler 4xe Rubicon,New,54755,Chrysler Dodge Jeep Ram Brooksville,4.5,76,"Brooksville, FL",tel:+1-352-592-6692,Brooksville,FL
2019 Buick LaCrosse Avenir,Used,23222,Patriot Chrysler Dodge Jeep Ram of McAlester,4.3,244,"McAlester, OK",tel:+1-888-397-0543,McAlester,OK
2016 Honda Fit EX,Used,12997,Broadmoor Motors Hastings,0.0,0,"Hastings, MI",tel:+1-888-836-5725,Hastings,MI
2022 Toyota Corolla XSE,Used,22995,Lithia Toyota of Redding,4.6,1614,"Redding, CA",tel:+1-530-768-2806,Redding,CA
2024 Ford Expedition Limited MAX,New,79000,Anderson Ford Lincoln of St. Joseph,3.8,491,"Saint Joseph, MO",tel:+1-888-774-5767,Saint Joseph,MO
2024 Kia Sportage X-Line,New,34799,Utter Family of Dealerships,4.2,377,"Sherman, TX",tel:+1-903-487-5675,Sherman,TX
2004 Pontiac Grand Prix GT2,Used,4995,Crossroads Used Cars LLC,0.0,42,"Tremont, IL",tel:+1-309-938-4020,Tremont,IL
2022 Kia Sorento Hybrid S,Used,29996,Tim Short Chrysler Dodge Jeep Ram Hazard,0.0,6,"Hazard, KY",tel:+1-606-716-6714,Hazard,KY
2014 BMW 328d xDrive,Used,13997,Alliance Motor Group,0.0,37,"Middleton, MA",tel:+1-617-674-0759,Middleton,MA
2012 Volkswagen Eos Lux,Used,9943,Damasca Autos,0.0,2,"Tracy, CA",tel:+1-209-797-6529,Tracy,CA
2021 Jeep Wrangler Unlimited Rubicon,Used,49896,Woody Folsom Ford,4.4,76,"Baxley, GA",tel:+1-912-209-0175,Baxley,GA
2023 Subaru Solterra Limited,Used,39998,Bob Wade Subaru,4.6,540,"Harrisonburg, VA",tel:+1-877-799-0910,Harrisonburg,VA
2011 Toyota Yaris Base,Used,5999,Wesley Chapel Toyota,4.4,4412,"Wesley Chapel, FL",tel:+1-813-822-3252,Wesley Chapel,FL
2016 Hyundai Veloster Base,Used,7975,Birmingham Auto Auction,0.0,2,"Hueytown, AL",tel:+1-205-847-2468,Hueytown,AL
2024 Acura Integra A-Spec,New,35295,Northeast Acura,4.7,163,"Latham, NY",tel:+1-518-750-2126,Latham,NY
2024 Mercedes-Benz EQE 350+ Base,New,88865,Santa Barbara Auto Group,0.0,38,"Santa Barbara, CA",tel:+1-805-200-3300,Santa Barbara,CA
2017 Jeep Patriot Sport,Used,14900,Bruce Woodring Auto,0.0,8,"Henderson, KY",tel:+1-270-844-4570,Henderson,KY
2018 Buick Regal TourX 5dr Wagon Preferred AWD,Used,18750,Trinity Pre Owned Auto Sales,0.0,0,"Norfolk, VA",tel:+1-757-644-3665,Norfolk,VA
2022 Hyundai Elantra HEV Limited,Used,21995,Stevens Point Auto Center,3.4,397,"Stevens, WI",tel:+1-715-496-2573,Stevens,WI
2007 Honda Element SC,Used,5977,Mears Nissan,4.6,532,"Canton, OH",tel:+1-330-265-2182,Canton,OH
2024 Chevrolet Colorado LT,New,39002,Chevrolet GMC of Fairbanks,4.5,737,"Fairbanks, AK",tel:+1-877-839-5049,Fairbanks,AK
2018 Cadillac CT6 3.6L Luxury,Used,28583,Serra Ford Rochester Hills,4.7,1246,"Rochester Hills, MI",tel:+1-888-874-0074,Rochester Hills,MI
2006 Lincoln Mark LT Base,Used,7500,Corsinos Service Station and Repair Inc,0.0,1,"Westville, NJ",tel:+1-856-344-9575,Westville,NJ
1999 Ford Crown Victoria LX,Used,9900,Parsons Ford Lincoln,4.3,515,"Martinsburg, WV",tel:+1-304-596-0597,Martinsburg,WV
2024 Jeep Compass Limited,New,41790,Tasca Chrysler Dodge Jeep Ram Fiat,4.1,32,"Kingston, NY",tel:+1-845-943-2317,Kingston,NY
2021 Chrysler Pacifica Touring-L,Used,27995,Payless Car Sales - Valley,4.4,8,"Wasilla, AK",tel:+1-907-313-2447,Wasilla,AK
2023 MINI SE Hardtop Cooper,Used,23998,,0.0,0,,,no_state,no_region
2023 Ford Escape ST-Line,Used,27574,Southeast Auto Direct,0.0,7,"Iuka, MS",tel:+1-662-279-8047,Iuka,MS
2020 Nissan Sentra SV,Used,18995,Navarre Nissan,0.0,284,"Lake Charles, LA",tel:+1-337-485-5298,Lake Charles,LA
2018 Cadillac Escalade ESV Luxury,Used,36890,Groton Ford,4.8,11,"Groton, SD",tel:+1-605-252-3540,Groton,SD
2024 Hyundai Tucson Plug-In Hybrid Limited,New,47500,Driver's Village,2.8,179,"Cicero, NY",tel:+1-315-849-0246,Cicero,NY
2024 Hyundai Tucson Plug-In Hybrid SEL,New,40934,Driver's Village,2.8,179,"Cicero, NY",tel:+1-315-849-0246,Cicero,NY
2024 Hyundai Tucson Plug-In Hybrid Limited,New,47575,Driver's Village,2.8,179,"Cicero, NY",tel:+1-315-849-0246,Cicero,NY
2024 Hyundai Tucson Plug-In Hybrid Limited,New,47299,Driver's Village,2.8,179,"Cicero, NY",tel:+1-315-849-0246,Cicero,NY
2024 Jeep Wrangler Sahara,New,54022,Elm Grove Dodge Chrysler Jeep RAM Inc,4.4,33,"Wheeling, WV",tel:+1-888-564-4047,Wheeling,WV
2005 Lexus SC 430 Base (A5),Used,20796,Stevenson-Hendrick Honda Wilmington,4.9,2320,"Wilmington, NC",tel:+1-888-898-6405,Wilmington,NC
1997 Cadillac Eldorado Base,Used,4500,,0.0,0,,,no_state,no_region
2022 RAM 2500 Big Horn,Used,74990,Donovan & Bauer Auto Group,4.9,12,"Titusville, PA",tel:+1-814-707-4158,Titusville,PA
2004 Nissan 350Z Touring,Used,9995,Urban Motors,0.0,5,"Sacamento, CA",tel:+1-916-273-9473,Sacamento,CA
2024 Mercedes-Benz AMG G 63 4MATIC,New,258945,Mercedes-Benz of Kansas City,4.8,817,"Kansas City, MO",tel:+1-816-678-0718,Kansas City,MO
2002 BMW Z3 3.0i Roadster,Used,25500,Desert Auto Dealer,4.0,113,"Palm Desert, CA",tel:+1-760-469-4206,Palm Desert,CA
2012 Volkswagen Eos Komfort,Used,9500,Car Pro Auto Sales,0.0,0,"Stallings, NC",tel:+1-888-450-7190,Stallings,NC
2024 Chevrolet Malibu 1LS,New,24190,Palm Chevrolet,4.5,1061,"Ocala, FL",tel:+1-352-261-0412,Ocala,FL
2004 Toyota Matrix XR,Used,3900,,0.0,0,,,no_state,no_region
2023 Cadillac XT5 Sport,Used,48492,Lima Auto Mall,4.9,2831,"Lima, OH",tel:+1-877-547-9568,Lima,OH
2014 Mercedes-Benz Sprinter 2500 High Roof,Used,46996,Texas Car One,3.7,199,"Carrollton, TX",tel:+1-972-755-3800,Carrollton,TX
2023 FIAT 500X Pop,New,35565,Shimkat Motor Company,0.0,28,"Fort Dodge, IA",tel:+1-515-532-5376,Fort Dodge,IA
2018 Ford Taurus SEL,Used,13995,Let's Go Auto of Columbia,0.0,1,"West Columbia, SC",tel:+1-803-310-6322,West Columbia,SC
2020 Lexus LS 500 Base,Used,49789,Gravity Autos Chicago,4.5,16,"Highland Park, IL",tel:+1-224-754-7551,Highland Park,IL
2016 Nissan NV Cargo NV1500 SV V6,Used,18880,Love Chevrolet,4.6,124,"Inverness, FL",tel:+1-352-560-3449,Inverness,FL
2011 Jaguar XJ Base,Used,20000,,0.0,0,,,no_state,no_region
2024 Mercedes-Benz GLB 250 Base 4MATIC,New,50850,Mercedes-Benz of Albuquerque,4.7,2843,"Albuquerque, NM",tel:+1-505-388-2859,Albuquerque,NM
2024 Ford Edge SEL,New,38916,AutoNation Ford Wolfchase,4.6,1618,"Memphis, TN",tel:+1-888-246-1461,Memphis,TN
2016 Mercedes-Benz AMG SL AMG SL 63,Used,66800,Chicago Motor Cars,4.7,714,"West Chicago, IL",tel:+1-630-489-1108,West Chicago,IL
2009 Volkswagen Rabbit Base,Used,8998,Car Expo Auto Center,3.6,57,"Sacramento, CA",tel:+1-916-999-4997,Sacramento,CA
2024 Nissan Sentra S,New,20865,Capital Nissan of Wilmington,4.2,280,"Wilmington, NC",tel:+1-877-292-1320,Wilmington,NC
2014 Ford Focus Electric Base,Used,6387,Dan Cummins Chevrolet Buick of Paris,4.6,3043,"Paris, KY",tel:+1-888-234-4451,Paris,KY
2021 Honda Civic Type R Touring,Used,44985,Lithia Honda in Medford,4.7,1431,"Medford, OR",tel:+1-541-454-9753,Medford,OR
2020 Volvo V90 T6 R-Design,Used,43875,Arlington Heights Buick GMC,4.9,5660,"Arlington heights, IL",tel:+1-847-929-4927,Arlington heights,IL
2023 Jeep Renegade Latitude,Used,22999,Simmons-Rockwell Hyundai,0.0,0,"Elmira, NY",tel:+1-855-229-7638,Elmira,NY
2020 Mitsubishi Outlander ES,Used,18990,Planet Pre-Owned / Matthews Mitsubishi Volkswagen,4.7,1555,"Vestal, NY",tel:+1-607-608-2901,Vestal,NY
2024 Nissan Kicks S,New,22930,Nissan Andalusia,0.0,2,"Andalusia, AL",tel:+1-334-542-8595,Andalusia,AL
2011 BMW 128 2dr Cpe 128i,Used,8995,Just Auto,0.0,0,"Knoxville, TN",tel:+1-865-320-1080,Knoxville,TN
2023 BMW 330 i,Used,49555,Galleria BMW,4.9,565,"D'Iberville, MS",tel:+1-877-648-9811,D'Iberville,MS
2024 Nissan Kicks SV,New,24557,Jack Ingram Motors,4.4,61,"Montgomery, AL",tel:+1-334-513-1679,Montgomery,AL
2024 Toyota Tundra Hybrid Platinum,New,73353,Toyota of Murray,4.7,252,"Murray, KY",tel:+1-866-462-3148,Murray,KY
2024 GMC Terrain Denali,New,41985,Yellowstone Motors,4.6,750,"Powell, WY",tel:+1-307-271-3060,Powell,WY
2024 Nissan Sentra S,New,20865,Capital Nissan of Wilmington,4.2,280,"Wilmington, NC",tel:+1-877-292-1320,Wilmington,NC
2015 Lexus CT 200h 200h,Used,15995,Lexus of Portland,4.7,571,"Portland, OR",tel:+1-888-484-9508,Portland,OR
2010 Dodge Ram 3500 SLT,Used,32395,Centex Truck and Auto,0.0,0,"Dripping Springs, TX",tel:+1-512-631-9839,Dripping Springs,TX
2022 Jeep Grand Cherokee 4xe Summit,Used,64881,Steve Faulkner Automotive,4.7,34,"Mount Carmel, IL",tel:+1-877-668-4539,Mount Carmel,IL
2017 Audi A4 allroad 2.0T Premium,Used,18999,Car Trade,4.4,15,"Slatington, PA",tel:+1-484-861-2405,Slatington,PA
2024 Hyundai Elantra HEV Blue,New,27565,"Northtowne Volkswagen, Hyundai, Mazda",4.8,836,"Kansas City, MO",tel:+1-816-678-0933,Kansas City,MO
2016 Mercedes-Benz AMG S AMG S 63 4MATIC,Used,67998,BMW of Delray Beach,4.7,1768,"Delray Beach, FL",tel:+1-866-754-9238,Delray Beach,FL
2023 Subaru Solterra Limited,Used,35900,DuTeau Subaru,4.8,314,"Lincoln, NE",tel:+1-888-309-3664,Lincoln,NE
2020 Ford Edge Titanium,Used,28515,Madelia Ford,4.3,15,"Madelia, MN",tel:+1-507-399-0046,Madelia,MN
2024 Jeep Grand Cherokee 4xe 4xe,New,65430,York Dodge Chrysler Jeep RAM,0.0,193,"Prescott, AZ",tel:+1-888-452-5750,Prescott,AZ
2001 Isuzu VehiCROSS Base,Used,18500,,0.0,0,,,no_state,no_region
2013 Scion FR-S Base,Used,15499,MD Motors,4.3,8,"Williston, VT",tel:+1-802-391-5581,Williston,VT
2008 BMW 135 i,Used,8000,Benson Chrysler Jeep Dodge RAM,4.5,559,"Greer, SC",tel:+1-864-469-5284,Greer,SC
2024 GMC Sierra 1500 Denali,New,82685,Halladay Buick GMC,4.8,1003,"Cheyenne, WY",tel:+1-877-280-3167,Cheyenne,WY
2023 Chevrolet Corvette Stingray w/3LT,Used,89999,Vaughn Automotive,3.2,136,"Ottumwa, IA",tel:+1-641-954-3557,Ottumwa,IA
2024 Jeep Grand Cherokee Laredo X,New,40100,Laredo Dodge Chrysler Jeep Ram,2.7,99,"Laredo, TX",tel:+1-956-242-7477,Laredo,TX
2010 Lexus LS 460 Base,Used,17998,Lexus of Concord,4.8,610,"Concord, CA",tel:+1-925-271-5741,Concord,CA
2024 Mitsubishi Eclipse Cross SEL,New,29652,Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram Mitsubishi,4.2,3802,"Hialeah, FL",tel:+1-305-809-7662,Hialeah,FL
2015 Ford Explorer Limited,Used,11489,Coronet Dodge,4.9,131,"Peru, IL",tel:+1-866-620-7869,Peru,IL
2010 Volvo V70 3.2 R-Design Premier,Used,25888,Minneapolis Motorcars,0.0,53,"Minnetonka, MN",tel:+1-612-235-7884,Minnetonka,MN
2011 Buick Regal CXL,Used,8995,L & S Automotive,0.0,54,"Plantsville, CT",tel:+1-860-736-3036,Plantsville,CT
2021 GMC Acadia SLE,Used,31995,Taylor Chevrolet,4.2,731,"Taylor, MI",tel:+1-734-720-4405,Taylor,MI
2023 BMW X3 sDrive30i,Used,41998,CarMax Killeen - Offering Express Pickup and Home Delivery,0.0,2,"Killeen, TX",tel:+1-254-470-7543,Killeen,TX
2024 Hyundai Palisade Calligraphy,New,54995,Fuccillo Hyundai of Watertown,0.0,0,"Watertown, NY",tel:+1-315-836-4246,Watertown,NY
2024 Buick Encore GX Sport Touring,New,31135,Honolulu Buick GMC Cadillac,4.2,1037,"Honolulu, HI",tel:+1-808-452-1872,Honolulu,HI
2024 Jeep Compass Limited,New,42385,Tasca Chrysler Dodge Jeep Ram Fiat,4.1,32,"Kingston, NY",tel:+1-845-943-2317,Kingston,NY
2002 Lexus SC 430,Used,15200,Alternative Motor Group,0.0,2,"Chantilly, VA",tel:+1-703-665-3317,Chantilly,VA
2020 Mercedes-Benz AMG S 63 Base 4MATIC,Used,114996,Mercedes-Benz of Cincinnati,0.0,599,"Cincinnati, OH",tel:+1-513-667-1558,Cincinnati,OH
2019 BMW X1 xDrive28i,Used,25800,Elite Auto Sales,4.1,187,"Ammon, ID",tel:+1-208-754-3014,Ammon,ID
2021 Mercedes-Benz AMG GLB 35 Base,Used,41500,Jackie Cooper Imports,4.9,4548,"Tulsa, OK",tel:+1-888-791-1104,Tulsa,OK
2016 Mercedes-Benz Metris Base,Used,15811,Savvy Auto Sales LLC of COLUMBUS,0.0,4,"COLUMBUS, OH",tel:+1-614-360-2468,COLUMBUS,OH
2022 Mercedes-Benz AMG GT 53 Base,Used,83998,Hendrick Motors of Charlotte,5.0,1507,"Charlotte, NC",tel:+1-888-835-1430,Charlotte,NC
2021 Mazda CX-5 Touring,Used,25954,Jenkins Volvo of Ocala,5.0,6,"Ocala, FL",tel:+1-352-581-6963,Ocala,FL
2010 Mercury Mariner Premier,Used,5184,Modern Classic Motors,3.9,370,"Grand Junction, CO",tel:+1-970-712-5163,Grand Junction,CO
2014 BMW 640 640i,Used,25999,Stewart Automotive Group,0.0,2,"North Canton, OH",tel:+1-330-838-4109,North Canton,OH
1984 Cadillac Eldorado Biarritz,Used,21495,Auto Club of Edison,4.6,1024,"Edison, NJ",tel:+1-732-812-4456,Edison,NJ
2024 Chevrolet Malibu RS,New,25845,Boniface Hiers Chevrolet,4.7,922,"Melbourne, FL",tel:+1-877-222-6457,Melbourne,FL
2023 Mercedes-Benz CLA 250 CLA 250,New,52040,Isringhausen Imports,4.9,977,"Springfield, IL",tel:+1-877-362-8855,Springfield,IL
2024 Ford Edge SE,New,32908,AutoNation Ford Wolfchase,4.6,1618,"Memphis, TN",tel:+1-888-246-1461,Memphis,TN
2022 Land Rover Range Rover Velar P250 S,Used,48988,Hill-Kelly Dodge Chrysler Jeep RAM,4.4,1618,"Pensacola, FL",tel:+1-877-384-2032,Pensacola,FL
2024 Buick Enclave Premium,New,52845,Kendall Chevrolet GMC of Eugene,3.8,194,"Eugene, OR",tel:+1-888-703-9741,Eugene,OR
2021 Cadillac XT6 Premium Luxury AWD,Used,35939,Bob Johnson Buick GMC South,0.0,552,"henrietta, NY",tel:+1-585-404-4525,henrietta,NY
2007 Bentley Continental GTC,Used,34491,USA Direct Auto,3.2,52,"Houston, TX",tel:+1-281-653-8514,Houston,TX
2007 Honda Element EX,Used,6100,,0.0,0,,,no_state,no_region
2020 Mercedes-Benz GLE 580 AWD 4MATIC,Used,53998,Jaguar Land Rover Boston,4.7,202,"Boston, MA",tel:+1-617-284-6988,Boston,MA
2024 Volkswagen ID.4 S,New,45299,Southern Volkswagen Greenbrier,4.5,1904,"Chesapeake, VA",tel:+1-757-644-0325,Chesapeake,VA
2005 Cadillac STS V6,Used,5499,Your Choice Auto Sales of Posen,4.3,110,"Posen, IL",tel:+1-708-965-8911,Posen,IL
2022 Mitsubishi Outlander SE,Used,25041,Tom Gibbs Chevrolet,4.5,269,"Palm Coast, FL",tel:+1-386-270-0417,Palm Coast,FL
2021 Toyota RAV4 LE,Used,25795,Ruby Mountain Motors Blue Lakes,0.0,1,"Twin Falls, ID",tel:+1-888-849-3904,Twin Falls,ID
2018 Jeep Wrangler Unlimited Sport,Used,31595,Rincon Chevrolet,4.6,59,"Rincon, GA",tel:+1-912-513-2172,Rincon,GA
1997 Jaguar XK8,Used,9999,West Orange Auto Brokers,0.0,0,"Ocoee, FL",tel:+1-407-612-0951,Ocoee,FL
2023 Mercedes-Benz EQB 300 Base 4MATIC,New,62150,Autobahn Motors,4.8,1708,"Belmont, CA",tel:+1-888-841-9677,Belmont,CA
2024 Ford Edge Titanium,New,41904,AutoNation Ford Wolfchase,4.6,1618,"Memphis, TN",tel:+1-888-246-1461,Memphis,TN
2020 Hyundai IONIQ EV SE,Used,13899,Honda of Cleveland Heights,4.4,3156,"Cleveland Heights, OH",tel:+1-216-236-9333,Cleveland Heights,OH
2024 Ford Escape Base,New,40859,Ford Lincoln Fairfield,4.5,2039,"Fairfield, CA",tel:+1-707-474-4105,Fairfield,CA
2024 Jeep Grand Cherokee L Laredo,New,44417,Larry H. Miller Chrysler Jeep Tucson,4.4,840,"Tucson, AZ",tel:+1-520-667-1314,Tucson,AZ
2024 Audi Q4 e-tron 50 Premium,New,69290,Audi Wilsonville,4.6,821,"Wilsonville, OR",tel:+1-503-573-8403,Wilsonville,OR
2022 Mercedes-Benz EQS 580 Base 4MATIC,Used,79000,Mercedes-Benz of Richmond,4.8,885,"Richmond, VA",tel:+1-804-388-1389,Richmond,VA
2012 Acura TL 3.5,Used,7900,H&R Auto And Hauling LLC,0.0,0,"Garfield, AR",tel:+1-833-241-0750,Garfield,AR
